suburb,tier,latitude,longitude,distance_to_cbd_km,bedrooms,bathrooms,size_sqm,plot_size_sqm,house_age,has_pool,has_borehole,has_solar,walled,price_usd
Hatfield,middle,-17.869840956162896,31.086346318076835,6.15,3,3,183,933,5,0,1,1,1,180887.26
Glen Lorne,premium,-17.746662295551115,31.183267097555596,17.39,8,6,444,2402,10,1,1,1,1,916546.92
Greendale,upper-mid,-17.796654111896135,31.130263229106344,9.8,3,2,188,856,24,0,1,0,1,302916.66
Marlborough,middle,-17.780965589841866,30.95935319628423,10.64,1,1,177,581,23,0,1,1,1,172308.53
Vainona,upper-mid,-17.781171625542864,31.086999978929533,7.1,2,2,270,2269,42,0,1,1,1,301276.99
Mabelreign,middle,-17.806746509242107,30.99195074408334,6.23,1,1,206,1192,24,0,1,0,1,103782.39
Avondale,upper-mid,-17.790160295498186,31.03087509202675,4.78,5,5,121,565,9,0,1,0,1,410170.52
Hatfield,middle,-17.86592384269888,31.07951810281545,5.33,2,1,141,434,16,0,1,0,1,119679.32
Mabelreign,middle,-17.814235763764298,30.999914720880547,5.12,4,3,182,1077,21,0,0,0,1,137879.57
Marlborough,middle,-17.78374181258386,30.95538576705216,10.85,1,1,130,1090,17,0,0,1,1,193728.93
Glen View,township,-17.92559695266537,30.967562639425992,13.33,1,1,91,625,22,0,0,0,1,32654.42
Avonlea,middle,-17.763709056200824,30.99504977778408,9.16,3,3,193,744,24,0,1,0,1,210927.27
Mabelreign,middle,-17.804689118427277,30.999954370032636,5.59,4,4,156,805,19,0,1,0,1,160683.12
Vainona,upper-mid,-17.78384511368922,31.072257759071377,5.99,2,1,200,884,34,0,1,0,1,264133.98
Marlborough,middle,-17.776556854120603,30.951035567150573,11.65,4,3,251,1647,28,0,1,1,0,280965.39
Marlborough,middle,-17.785114240932465,30.94902112267188,11.37,3,2,189,1054,23,0,0,0,1,190775.41
Mt Pleasant,premium,-17.782920665143465,31.02006714207716,5.96,2,1,312,2095,30,0,1,0,1,342312.45
Greendale,upper-mid,-17.78700349364277,31.12554562929907,9.83,4,3,344,1993,6,0,1,0,1,452596.78
Glen View,township,-17.9324756765901,30.970919961788873,13.74,4,3,147,993,2,0,0,0,0,53931.4
Avonlea,middle,-17.766132964671534,30.99184787570196,9.15,3,3,217,404,42,0,1,0,1,189678.66
Ballantyne Park,premium,-17.748166661322568,31.076302980399827,9.79,3,3,549,3361,29,1,1,0,1,521215.44
Vainona,upper-mid,-17.787504203484154,31.080846176579954,6.15,2,1,253,772,22,1,1,0,1,312185.06
Ballantyne Park,premium,-17.761342400519954,31.07473514375442,8.36,4,3,366,2414,27,0,0,1,1,408004.86
Borrowdale,premium,-17.745035453850534,31.100006481032658,11.19,2,1,467,2317,11,1,0,1,1,615116.46
Kambuzuma,township,-17.864834966819043,30.96092854018774,9.66,1,1,84,699,7,0,0,0,0,29644.03
Avondale,upper-mid,-17.79336893365121,31.037375280236155,4.26,2,1,319,1853,32,0,1,1,1,281827.8
Vainona,upper-mid,-17.78287944011996,31.085824976369647,6.88,4,4,295,1210,15,1,1,0,1,383212.84
Avonlea,middle,-17.77397215481258,30.981142088205257,9.27,1,1,105,592,16,0,0,0,1,171640.17
Borrowdale,premium,-17.736139631951495,31.09873890070871,11.98,7,6,193,745,30,1,1,1,1,891772.19
Vainona,upper-mid,-17.777469087588223,31.068903890893278,6.47,2,2,289,1192,23,0,1,1,1,362317.03
Belvedere,middle,-17.849908406158104,31.025739837770942,2.93,4,4,280,1784,33,0,1,0,0,204015.23
Avonlea,middle,-17.769634799109365,30.984889865681758,9.33,1,1,246,1632,19,0,1,0,1,171487.59
Budiriro,township,-17.939490177980645,30.937795165541285,16.56,3,3,84,465,12,0,1,1,0,49092.86
Avonlea,middle,-17.76622235077409,30.98549407174695,9.57,7,6,235,1290,15,0,0,1,1,338754.78
Avondale,upper-mid,-17.78934542861049,31.029309446566185,4.92,6,6,369,1450,4,0,1,0,1,519097.08
Hatfield,middle,-17.870656895215742,31.096497464733602,7.01,3,2,178,1316,26,0,0,0,1,158943.27
Glen View,township,-17.932069671826078,30.975012553610224,13.46,1,1,107,422,32,0,0,0,1,30606.65
Hatfield,middle,-17.870255640090566,31.091804459315295,6.6,4,3,161,662,44,0,1,0,0,126992.42
Kambuzuma,township,-17.86229333540387,30.961025400397723,9.55,2,2,98,478,21,0,0,0,1,34177.31
Mabelreign,middle,-17.811868103580316,30.99945811578023,5.27,3,2,154,851,6,0,1,0,0,138446.78
Mufakose,township,-17.91235506331191,30.965674552161886,12.34,5,4,72,271,25,0,0,0,1,57811.34
Mt Pleasant,premium,-17.77610185356216,31.019540603636536,6.67,5,5,343,2196,15,0,1,0,1,557909.8
Hatfield,middle,-17.865181027666402,31.086958806254902,5.85,5,4,200,1058,11,0,1,0,1,214059.55
Avondale,upper-mid,-17.787342488428212,31.035242282777823,4.96,2,2,192,761,14,0,1,0,1,243233.27
Marlborough,middle,-17.77861408226546,30.956900463474398,11.0,3,3,171,719,18,0,0,1,1,238473.49
Belvedere,middle,-17.8459231366721,31.021994813250533,2.95,4,3,162,342,23,0,0,0,0,168139.6
Budiriro,township,-17.94066205491588,30.945998686928213,16.08,3,3,106,260,31,0,0,0,1,35463.16
Budiriro,township,-17.94672738387563,30.939453147461997,17.04,3,3,131,318,2,0,0,0,1,52903.7
Vainona,upper-mid,-17.782937022627106,31.081711997989753,6.61,6,5,329,2146,28,0,0,0,1,459897.48
Hatfield,middle,-17.870089207600337,31.084870357814303,6.06,3,3,263,1375,0,0,0,0,1,156767.38
Hatfield,middle,-17.86575079199546,31.098700718854207,6.87,2,1,152,913,34,0,0,1,1,121272.5
Greendale,upper-mid,-17.788839462006308,31.129517862350436,10.1,4,4,349,2398,22,0,1,0,1,424155.22
Mt Pleasant,premium,-17.774007277479296,31.023894720958864,6.72,4,4,408,2342,33,1,1,1,1,515461.0
Borrowdale,premium,-17.732471278825308,31.10126403032648,12.47,3,2,288,1324,23,0,0,1,1,567074.12
Hatfield,middle,-17.867079132952156,31.092755871907972,6.45,5,5,250,1623,28,0,0,0,1,189251.57
Marlborough,middle,-17.781946962786666,30.948555156485416,11.58,2,1,205,963,23,0,0,0,1,178485.65
Budiriro,township,-17.934050797309077,30.928089339139998,16.86,3,2,114,423,41,0,0,0,1,28104.78
Avondale,upper-mid,-17.791146036221512,31.027319450073374,4.81,5,4,359,1894,13,0,1,0,1,415866.54
Budiriro,township,-17.93850992801252,30.93862705203467,16.42,1,1,98,505,32,0,0,0,0,25299.55
Greendale,upper-mid,-17.78643466973495,31.1303262356399,10.3,3,2,185,1152,22,0,1,1,1,382269.19
Mabelreign,middle,-17.8091808695588,31.003154004667124,5.05,3,2,243,1725,24,0,1,0,1,149030.21
Glen Lorne,premium,-17.742488138342427,31.17657246603859,17.06,1,1,474,1468,10,1,1,0,1,442142.26
Marlborough,middle,-17.78534380920351,30.950830845598794,11.19,3,3,178,757,31,0,1,0,1,204873.75
Mabelreign,middle,-17.80374936685429,31.004010429371093,5.29,8,6,155,574,29,0,0,1,1,203460.66
Glen View,township,-17.924445814793373,30.97725643352235,12.62,1,1,87,485,4,0,0,0,0,35078.03
Mabelreign,middle,-17.809402567089204,30.999521905416415,5.38,6,6,233,1868,17,0,0,0,1,196749.95
Borrowdale,premium,-17.74122492146189,31.09481268509077,11.29,7,6,308,1216,18,0,1,1,1,738529.92
Greendale,upper-mid,-17.780529483283264,31.123730957418772,10.05,3,3,244,840,15,0,1,1,1,391918.82
Borrowdale,premium,-17.740450265785373,31.10049075427278,11.66,1,1,343,2265,23,0,1,0,1,527242.67
Mt Pleasant,premium,-17.77992404092662,31.015149716807628,6.5,8,6,391,2093,11,1,1,1,1,781869.79
Belvedere,middle,-17.85139747642208,31.012524279762115,4.12,2,2,133,773,11,0,1,0,1,157024.15
Hatfield,middle,-17.868612859453652,31.08871686232273,6.24,2,1,148,298,7,0,1,0,1,138479.0
Hatfield,middle,-17.870429132358698,31.09369139378048,6.77,2,2,182,922,23,0,1,0,1,133702.42
Mufakose,township,-17.912336292556347,30.96174728444565,12.63,2,2,68,306,0,0,0,0,1,50255.45
Hatfield,middle,-17.86617341044062,31.090082898426036,6.17,2,1,166,863,0,0,0,1,1,121013.84
Mabelreign,middle,-17.804772841001498,30.99720440340695,5.84,3,2,113,377,0,0,1,0,1,158218.08
Glen Lorne,premium,-17.742633879817888,31.18573406515818,17.85,3,2,307,1558,4,1,1,1,1,574011.23
Highlands,upper-mid,-17.79268052296531,31.072718630773945,5.17,5,5,298,1263,8,0,1,0,1,533408.97
Avonlea,middle,-17.78001379043654,30.989211146181177,8.19,5,4,185,830,0,0,0,0,1,303292.49
Mufakose,township,-17.909914773768758,30.958925041149055,12.65,4,3,110,627,14,0,1,0,1,53076.47
Borrowdale,premium,-17.73796408546179,31.096748485508414,11.71,2,2,363,1550,7,0,1,1,1,656967.72
Marlborough,middle,-17.78250230546154,30.94638872342092,11.75,3,3,169,760,29,0,0,1,1,207245.75
Belvedere,middle,-17.852710839029385,31.018557026691568,3.7,1,1,148,412,17,0,1,0,0,136578.37
Borrowdale,premium,-17.74613584804907,31.098836682534728,11.02,4,3,330,1588,36,0,1,1,1,658979.36
Greendale,upper-mid,-17.791745956365215,31.12820125390906,9.83,4,4,205,1267,12,0,0,0,1,390366.25
Glen View,township,-17.928182180046004,30.96483068158663,13.74,7,6,99,532,14,0,0,0,1,64136.46
Belvedere,middle,-17.8489116330273,31.02546329377819,2.87,3,2,154,478,2,0,0,0,1,179250.17
Highlands,upper-mid,-17.79572535579293,31.066025640045186,4.51,5,4,373,2233,5,0,0,0,1,565039.4
Mabelreign,middle,-17.809445314866995,30.99601467424075,5.71,3,2,156,391,0,0,1,1,1,169834.36
Greendale,upper-mid,-17.789959162853748,31.128952553360186,9.99,1,1,178,983,39,1,1,0,1,245941.72
Mabelreign,middle,-17.807171263906902,31.004331364559732,5.06,2,1,157,977,18,0,0,0,1,109918.42
Vainona,upper-mid,-17.77757568816517,31.069766734611015,6.49,4,4,220,1194,18,0,0,1,1,420689.82
Avonlea,middle,-17.767058212745578,30.988432765052693,9.3,1,1,155,757,33,0,0,0,1,157769.64
Greendale,upper-mid,-17.7928963182475,31.132351339836156,10.17,1,1,223,963,26,0,0,1,1,270771.98
Vainona,upper-mid,-17.7832962766784,31.082308917298512,6.61,3,2,402,2384,11,0,1,0,1,392907.03
Mufakose,township,-17.91556114023977,30.95930347448922,13.06,6,5,82,336,22,0,0,0,0,60314.63
Ballantyne Park,premium,-17.760600628149966,31.082376614364392,8.77,3,2,422,2132,21,1,1,1,1,474695.42
Glen Lorne,premium,-17.748864730264952,31.18528664521493,17.44,2,1,421,2219,11,0,1,1,1,541823.62
Greendale,upper-mid,-17.786754025032106,31.129357803905492,10.2,7,6,351,1342,0,0,1,0,1,648639.13
Hatfield,middle,-17.864354376774084,31.08940279614228,5.99,1,1,186,749,11,1,1,0,1,118500.99
Mabelreign,middle,-17.80949152897054,30.996195524227534,5.69,1,1,191,491,15,0,0,0,1,116215.42
Budiriro,township,-17.94083519282569,30.941727515247454,16.39,2,2,117,743,33,0,0,0,1,34561.14
Vainona,upper-mid,-17.783717900088252,31.08408801703011,6.69,2,2,295,1233,0,0,0,0,1,323254.11
Greendale,upper-mid,-17.780338215352756,31.12538309062919,10.21,3,3,177,956,15,1,1,1,1,376053.19
Mt Pleasant,premium,-17.782442712550182,31.016370695740722,6.19,4,3,453,2788,21,1,1,1,1,610755.73
Avonlea,middle,-17.767642480201335,30.994469741609027,8.85,4,3,251,1756,43,0,1,1,1,232319.25
Budiriro,township,-17.93808212478324,30.932948309069594,16.8,1,1,107,568,24,0,0,0,1,28017.93
Belvedere,middle,-17.84251638881821,31.018461556172806,3.09,4,4,107,416,27,0,0,0,1,177909.18
Avonlea,middle,-17.76830992985481,30.9836765385015,9.53,1,1,227,1741,14,0,0,1,0,196360.75
Greendale,upper-mid,-17.793456351895912,31.127496539880752,9.68,6,5,223,1052,39,0,1,1,1,453284.56
Glen View,township,-17.92591212524487,30.96969654899534,13.22,4,4,107,428,6,0,0,0,1,60091.5
Marlborough,middle,-17.78439840115152,30.9490028499334,11.41,8,6,152,692,25,0,1,1,1,317495.08
Mt Pleasant,premium,-17.77672723637971,31.02330339105769,6.46,3,2,488,3731,16,1,1,1,1,524990.98
Greendale,upper-mid,-17.790696299861498,31.126152325100797,9.69,1,1,247,1190,0,0,0,0,1,288258.45
Glen Lorne,premium,-17.737247807611656,31.1802592244433,17.71,4,3,203,1114,19,1,0,1,1,499030.59
Highlands,upper-mid,-17.794255579599092,31.075433169077332,5.2,2,1,276,1578,17,0,0,0,1,356495.71
Borrowdale,premium,-17.732471681071136,31.108909797906655,12.88,2,1,288,1990,26,0,1,1,1,543882.23
Avondale,upper-mid,-17.789165006528744,31.02538908042645,5.09,3,2,238,1245,0,1,0,0,1,363273.51
Belvedere,middle,-17.847767633789108,31.021053428567345,3.15,2,2,218,1371,36,0,0,1,1,175535.92
Greendale,upper-mid,-17.783389287135126,31.13839304622194,11.22,3,2,208,1723,6,1,1,0,1,470498.88
Avondale,upper-mid,-17.79409209612597,31.03774589622354,4.18,1,1,142,754,13,0,0,1,1,256820.61
Kambuzuma,township,-17.858818598413514,30.965832701006473,8.93,2,1,56,243,31,0,0,0,1,30264.66
Hatfield,middle,-17.87222747410099,31.084651016000965,6.22,2,2,162,1077,0,0,0,0,0,149374.82
Marlborough,middle,-17.771152481438893,30.946181394144038,12.4,4,4,251,1854,12,0,1,0,1,304589.91
Vainona,upper-mid,-17.785805248963285,31.084030399456402,6.51,2,1,291,1280,23,1,1,0,1,360349.55
Glen View,township,-17.932141435213083,30.97204555099565,13.64,1,1,118,791,2,0,0,0,1,38026.99
Highlands,upper-mid,-17.792467644392474,31.06734134601856,4.89,1,1,259,797,5,0,1,0,1,331243.45
Vainona,upper-mid,-17.781580242454048,31.075393510919348,6.37,4,3,200,999,12,1,1,0,1,451370.89
Glen View,township,-17.929091120251606,30.973521415101995,13.27,2,1,89,475,18,0,0,0,1,35130.89
Marlborough,middle,-17.77694039777893,30.95414037996274,11.34,3,3,260,1064,8,0,0,0,1,270407.63
Hatfield,middle,-17.87373156158567,31.089729225678887,6.71,2,2,162,1009,22,0,1,0,1,125606.72
Avonlea,middle,-17.770928644938703,30.98265485021381,9.39,1,1,245,1339,20,0,1,0,1,175854.56
Belvedere,middle,-17.851870761706294,31.028742769385648,2.89,3,2,117,456,23,0,1,0,1,174974.8
Vainona,upper-mid,-17.773199163645298,31.078820225750796,7.36,1,1,283,1918,0,1,0,1,1,427065.24
Highlands,upper-mid,-17.78348249930879,31.065920349293705,5.73,4,4,249,965,7,1,1,0,1,439651.15
Vainona,upper-mid,-17.78371778967061,31.0744217299942,6.11,3,2,223,915,29,0,1,0,1,313915.05
Ballantyne Park,premium,-17.764904184391543,31.079662444795073,8.21,5,4,515,1916,0,1,1,1,1,652594.69
Mufakose,township,-17.913129067688097,30.961707621980803,12.69,1,1,55,348,33,0,0,0,1,29269.03
Vainona,upper-mid,-17.780454972948434,31.085225212716306,7.05,4,3,254,1496,12,0,0,1,1,429472.75
Avonlea,middle,-17.76888975820178,30.992037985277108,8.9,2,1,201,581,39,0,1,0,1,172247.45
Mabelreign,middle,-17.804238419785598,31.00104871216679,5.52,3,3,118,571,6,0,0,0,1,115971.31
Mabelreign,middle,-17.81246829941591,31.005986573671436,4.62,2,2,126,762,30,1,0,0,1,122335.72
Avondale,upper-mid,-17.792275048565603,31.03096697742181,4.56,2,2,270,1296,14,0,1,0,1,297202.46
Avondale,upper-mid,-17.79364572625145,31.0304827737315,4.43,5,4,201,1390,18,0,1,0,1,369474.76
Budiriro,township,-17.940080005949387,30.947630604043876,15.91,2,2,55,226,30,0,0,0,1,31116.15
Belvedere,middle,-17.84632332726677,31.01974808997258,3.17,5,4,148,473,26,0,1,0,1,172157.64
Mabelreign,middle,-17.81005772102288,31.004290136220746,4.9,4,4,211,1438,24,0,1,0,1,136388.81
Glen View,township,-17.927403752477765,30.976989851207918,12.91,4,3,62,247,32,0,0,0,0,46029.83
Mabelreign,middle,-17.81063125927887,30.99624078763345,5.64,3,3,135,451,18,0,0,0,1,132137.71
Ballantyne Park,premium,-17.75753819500817,31.08302718509565,9.11,3,3,284,1801,32,1,0,1,1,406574.13
Avonlea,middle,-17.77400547103337,30.981295425581216,9.25,6,6,210,1673,0,0,1,1,1,364768.53
Mt Pleasant,premium,-17.789024275497145,31.016824967354065,5.54,3,2,479,3561,20,0,0,1,1,516628.82
Belvedere,middle,-17.847494239655756,31.01637731282991,3.54,1,1,132,931,12,0,0,0,1,135948.04
Kambuzuma,township,-17.860864193153766,30.956880388546086,9.9,2,1,89,367,13,0,0,0,1,33725.15
Marlborough,middle,-17.783276305311453,30.95158476996953,11.22,2,2,141,759,16,1,1,0,1,226698.92
Avondale,upper-mid,-17.794608777787502,31.035769030651245,4.16,4,3,342,1829,30,0,1,0,1,340295.62
Borrowdale,premium,-17.739008801768588,31.100426912798522,11.79,4,4,370,1870,13,0,1,1,1,726469.02
Kambuzuma,township,-17.858326252288364,30.96705559847582,8.79,3,3,80,259,33,0,0,0,0,36146.72
Mt Pleasant,premium,-17.782362649410096,31.018357157520622,6.1,5,4,332,1415,18,1,1,1,1,563391.69
Borrowdale,premium,-17.748858785021138,31.10586118567432,11.18,1,1,344,2065,26,0,1,1,1,495687.95
Highlands,upper-mid,-17.79271910552158,31.077127320866246,5.45,4,4,284,1114,0,0,0,0,1,468130.26
Glen Lorne,premium,-17.739571215742995,31.18575951719632,18.04,1,1,454,1450,34,0,1,1,1,400603.6
Avondale,upper-mid,-17.797977700567,31.028244371310876,4.08,1,1,100,337,20,0,0,1,1,191677.61
Marlborough,middle,-17.76960388742084,30.952518118600135,11.94,5,4,173,788,6,0,0,0,1,268297.96
Vainona,upper-mid,-17.777470329111477,31.07666058425106,6.83,1,1,297,1310,28,1,1,1,1,314872.94
Glen Lorne,premium,-17.74761233745316,31.18512448753471,17.5,2,1,370,1759,34,0,1,0,1,446416.52
Mt Pleasant,premium,-17.775982174724515,31.025095191400084,6.47,3,3,442,2628,0,1,1,1,0,631875.57
Greendale,upper-mid,-17.78751713707712,31.126073019820296,9.85,4,3,186,984,8,0,1,0,1,386926.7
Glen Lorne,premium,-17.7402968558997,31.189865472680694,18.36,1,1,270,1050,10,1,1,1,1,451975.79
Belvedere,middle,-17.848616832314967,31.027954253605508,2.66,5,5,194,883,7,0,1,0,1,213319.94
Highlands,upper-mid,-17.784081295081844,31.06504659823912,5.63,5,4,176,945,25,0,1,0,1,446709.61
Vainona,upper-mid,-17.787717414885506,31.073958892360082,5.71,5,4,215,1019,0,0,0,1,1,431281.52
Greendale,upper-mid,-17.789408322640362,31.13734496908116,10.81,4,3,387,2382,13,0,1,0,1,459816.25
Avondale,upper-mid,-17.789125715002903,31.03190407257181,4.86,3,2,238,1437,30,0,1,1,1,286824.04
Borrowdale,premium,-17.7413271394224,31.102557112838632,11.69,1,1,296,2009,9,0,1,0,1,493616.3
Mt Pleasant,premium,-17.782156537433,31.019975671408893,6.04,4,4,451,3249,35,0,1,1,1,499328.95
Mufakose,township,-17.91519746671696,30.964031612130146,12.69,3,3,72,200,34,0,1,0,1,43837.54
Borrowdale,premium,-17.737428733699332,31.105444169722244,12.22,3,2,385,2248,3,1,1,1,1,667198.41
Marlborough,middle,-17.784276797374147,30.946873252917197,11.62,4,4,129,762,42,0,0,0,1,208649.21
Marlborough,middle,-17.774292391713043,30.94839119320055,12.02,5,4,148,653,20,1,1,0,1,298176.95
Vainona,upper-mid,-17.77796351845547,31.0793504141001,6.93,1,1,238,1472,9,0,0,1,1,351326.17
Avondale,upper-mid,-17.79418230216934,31.03662598054327,4.19,1,1,231,1887,44,1,0,0,1,229550.49
Mabelreign,middle,-17.81526235720396,31.003274142265788,4.75,2,1,136,407,30,0,0,1,0,94351.42
Mabelreign,middle,-17.816673966732292,30.993082505434653,5.72,4,3,159,1275,30,0,1,0,1,137357.07
Highlands,upper-mid,-17.794364121352693,31.065632095098355,4.62,4,4,170,1082,17,0,0,1,1,433435.56
Vainona,upper-mid,-17.776858834189035,31.082859451230885,7.23,3,2,383,2128,35,1,1,0,1,368171.94
Highlands,upper-mid,-17.79316291965793,31.071891859190497,5.08,3,2,240,756,0,0,1,1,1,497932.06
Avondale,upper-mid,-17.78950151965343,31.026459542248293,5.01,4,4,240,1232,27,0,0,1,1,323449.87
Belvedere,middle,-17.845223424429843,31.011309342778077,3.9,3,3,149,1020,35,0,0,0,1,140975.32
Highlands,upper-mid,-17.791316854877504,31.06738615400961,5.01,4,3,182,459,16,0,1,0,1,398049.45
Vainona,upper-mid,-17.78293097738942,31.077346630382944,6.35,4,4,223,1018,26,1,1,1,0,471104.03
Kambuzuma,township,-17.86499672637853,30.962194258947978,9.54,1,1,70,468,34,0,0,0,0,27136.27
Borrowdale,premium,-17.74061000810486,31.098747879707812,11.55,2,1,210,1171,9,1,1,0,1,560147.88
Avondale,upper-mid,-17.784429357406097,31.032581837201278,5.34,7,6,326,2172,11,0,1,1,1,443615.0
Hatfield,middle,-17.867904352125002,31.086006665479466,5.97,4,3,152,336,9,0,1,0,1,144174.93
Ballantyne Park,premium,-17.761939109587683,31.075520095735445,8.33,1,1,245,1260,0,1,1,1,1,432613.87
Borrowdale,premium,-17.73928993162237,31.097356171212983,11.61,4,3,366,2139,30,0,0,1,1,560139.18
Mt Pleasant,premium,-17.774245066999885,31.023851587285773,6.7,4,4,521,4298,21,1,0,1,1,625055.21
Glen View,township,-17.927344794820034,30.969379345650427,13.37,2,2,116,689,23,0,0,0,0,40652.84
Borrowdale,premium,-17.73951849661132,31.09378536988296,11.41,2,2,315,2057,27,0,1,0,1,551230.99
Ballantyne Park,premium,-17.76174504698859,31.079982424375714,8.55,1,1,377,1291,25,0,1,1,1,327504.0
Borrowdale,premium,-17.74074789081408,31.096157206829492,11.4,3,2,360,1883,18,1,0,1,1,686919.55
Mt Pleasant,premium,-17.774849308658297,31.023455789040554,6.65,8,6,359,1760,18,0,1,1,1,603100.5
Avonlea,middle,-17.75982093290899,30.989814946897557,9.84,2,1,131,523,19,0,0,0,1,189602.92
Highlands,upper-mid,-17.784752511130282,31.0686399412956,5.72,3,3,259,331,15,0,1,0,1,405385.87
Avonlea,middle,-17.76756008221451,30.987928144240342,9.29,5,4,177,306,7,0,0,0,1,264264.88
Avonlea,middle,-17.770023963424855,30.99166361054116,8.82,5,5,157,993,16,0,1,0,1,233240.72
Mabelreign,middle,-17.80522510600409,30.995895654943514,5.94,6,6,233,395,15,0,1,0,1,196936.34
Borrowdale,premium,-17.741678461922675,31.10146851392788,11.59,2,1,307,810,30,0,1,0,1,470467.3
Mabelreign,middle,-17.81222783244069,30.99255485126736,5.93,4,3,229,889,32,0,1,0,1,137982.41
Avonlea,middle,-17.769922982185292,30.985483926742457,9.26,4,3,219,910,13,0,0,1,1,249372.51
Ballantyne Park,premium,-17.758619041681193,31.08806747262724,9.25,4,4,359,1664,0,0,1,0,1,541843.77
Hatfield,middle,-17.867942202162236,31.088675519730483,6.18,5,4,200,761,0,0,0,0,1,205637.15
Mufakose,township,-17.912745944565945,30.964091628575446,12.49,4,3,79,475,35,0,0,0,1,51728.05
Highlands,upper-mid,-17.79170680756681,31.073567313804876,5.31,4,3,262,1727,47,0,1,0,1,390317.32
Glen View,township,-17.93873126138221,30.971974681064147,14.26,2,2,86,365,34,0,0,0,0,31947.93
Avondale,upper-mid,-17.785019980184806,31.035248758996385,5.22,1,1,171,818,10,0,1,1,1,276101.72
Avonlea,middle,-17.77106647128588,30.993015000983064,8.64,3,3,173,750,24,0,0,0,1,224857.33
Budiriro,township,-17.935150358275745,30.948197812826155,15.46,1,1,54,200,25,0,0,1,1,30216.59
Greendale,upper-mid,-17.790744554022613,31.123998392432604,9.49,2,2,297,1295,22,1,0,0,1,363199.99
Mabelreign,middle,-17.81246393114071,31.0033396783359,4.87,2,2,102,491,0,0,1,0,1,133869.81
Vainona,upper-mid,-17.7794936967909,31.072052608545317,6.4,3,2,225,1261,27,1,0,1,1,402178.95
Mabelreign,middle,-17.809986782263664,30.98976262253643,6.3,1,1,218,944,39,0,1,1,1,111867.87
Avonlea,middle,-17.770293338996,30.98968213996322,8.94,4,3,122,526,37,0,1,0,1,206116.68
Highlands,upper-mid,-17.791431385476763,31.068616154494453,5.06,4,3,265,1691,6,0,1,0,1,417740.18
Greendale,upper-mid,-17.786103863724442,31.14135096638821,11.36,3,3,223,1231,17,0,1,1,1,356708.53
Vainona,upper-mid,-17.775407389396285,31.086256539979107,7.57,3,2,246,1326,6,0,0,1,1,373737.64
Glen Lorne,premium,-17.75156799250575,31.18040963627565,16.84,3,2,347,1722,25,1,1,0,1,480726.84
Borrowdale,premium,-17.741495659731417,31.103685787791786,11.73,3,2,405,1735,29,1,1,1,1,528762.82
Greendale,upper-mid,-17.791706310119345,31.12477171272351,9.51,3,2,343,1925,23,0,1,1,1,380719.28
Borrowdale,premium,-17.731893429759285,31.106168042829175,12.78,4,4,383,1978,31,0,1,1,1,684695.92
Ballantyne Park,premium,-17.764362187231388,31.07859387383914,8.22,5,4,499,1526,2,0,1,0,1,529331.39
Hatfield,middle,-17.871082292500596,31.095582586431252,6.97,3,2,142,568,22,1,0,0,0,156615.27
Hatfield,middle,-17.870097533409176,31.09118187660178,6.54,6,5,204,1125,28,0,0,1,1,184746.73
Hatfield,middle,-17.871872924446926,31.09182065448437,6.72,1,1,209,545,0,0,0,0,1,123618.36
Vainona,upper-mid,-17.784159625738702,31.07100127834117,5.89,3,2,330,1998,9,0,1,0,1,399312.19
Mufakose,township,-17.913462998887155,30.955414255610844,13.19,4,3,74,616,16,0,0,0,0,51661.84
Avonlea,middle,-17.773286840504657,30.991429894895646,8.56,3,2,192,908,33,0,0,0,1,178176.27
Mt Pleasant,premium,-17.775431153801833,31.019371867652747,6.75,3,3,324,1340,10,1,1,0,1,506292.58
Mt Pleasant,premium,-17.77846575223633,31.019157746475585,6.45,1,1,203,949,7,1,1,0,1,437769.94
Belvedere,middle,-17.856410825303524,31.019084089201964,3.94,6,5,127,491,25,0,1,0,1,262192.81
Ballantyne Park,premium,-17.75961476367357,31.07855470780879,8.7,3,2,375,1360,31,1,1,1,1,446778.09
Marlborough,middle,-17.786470773939953,30.946899713049397,11.51,1,1,227,1192,2,0,1,1,1,259000.12
Budiriro,township,-17.945036394027074,30.93514151167572,17.2,3,2,131,768,22,0,1,0,0,36236.84
Borrowdale,premium,-17.734933030033847,31.110848606789176,12.76,1,1,534,3190,14,1,1,1,1,605427.0
Borrowdale,premium,-17.740960595564708,31.102968217081216,11.74,7,6,496,1517,8,0,1,0,0,911700.73
Budiriro,township,-17.939932546002847,30.94200061916163,16.29,3,2,98,762,21,0,0,0,1,37264.0
Avonlea,middle,-17.770818077044268,30.990457048865807,8.84,2,2,168,895,26,0,0,0,1,193286.97
Mt Pleasant,premium,-17.778322959053874,31.014863323218908,6.67,2,2,292,2198,11,0,1,0,1,442569.41
Glen View,township,-17.93438062431965,30.969860264931004,13.98,1,1,64,381,23,0,0,0,0,27247.07
Mufakose,township,-17.910842275853092,30.957005049769585,12.87,3,2,74,342,0,0,0,0,1,52832.48
Marlborough,middle,-17.781804339615316,30.95767765574297,10.74,3,2,200,925,10,0,0,0,0,218959.81
Avonlea,middle,-17.76895759878778,30.98008145678998,9.74,1,1,123,521,11,0,1,0,1,182475.74
Vainona,upper-mid,-17.7783244217181,31.083408631134482,7.13,4,3,218,574,40,0,1,0,1,330017.23
Glen Lorne,premium,-17.743629720593184,31.18805596967718,17.99,2,2,382,1372,15,0,1,1,1,501578.83
